Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2012-12-26 20:58:34;2012-12-27 04:47:06;94%;7:48;;;;0
2012-12-28 19:18:40;2012-12-29 02:24:30;75%;7:05;;;;0
2012-12-29 21:31:48;2012-12-30 05:49:40;100%;8:17;;;;0
2012-12-30 20:21:51;2012-12-31 05:00:45;80%;8:38;;;;0
2012-12-31 22:05:23;2013-01-01 04:29:06;62%;6:23;;;;0
2013-01-01 22:04:37;2013-01-02 05:05:41;62%;7:01;;;;0
2013-01-02 21:59:15;2013-01-03 05:26:15;74%;7:26;;;;0
2013-01-04 21:31:00;2013-01-05 04:58:58;76%;7:27;;;;0
2013-01-07 22:05:36;2013-01-08 04:34:51;65%;6:29;;;;0
2013-01-08 21:23:18;2013-01-09 05:06:06;87%;7:42;;;;0
2013-01-09 21:18:44;2013-01-10 04:27:22;76%;7:08;;;;0
2013-01-10 22:35:37;2013-01-11 05:26:50;48%;6:51;;;;0
2013-01-11 21:22:20;2013-01-12 04:58:30;78%;7:36;;;;0
2013-01-12 21:39:46;2013-01-13 04:47:29;76%;7:07;;;;0
2013-01-13 21:15:23;2013-01-14 02:32:10;45%;5:16;;;;0
2013-01-14 19:40:18;2013-01-15 03:13:17;84%;7:32;;;;0
2013-01-15 21:39:44;2013-01-16 03:28:30;60%;5:48;;;;0
2013-01-16 20:43:19;2013-01-17 03:26:41;68%;6:43;;;;0
2013-01-17 21:02:17;2013-01-18 02:56:10;69%;5:53;;;;0
2013-01-18 21:45:05;2013-01-19 04:42:16;65%;6:57;;;;0
2013-01-19 21:22:54;2013-01-20 05:36:34;78%;8:13;;;;0
2013-01-20 20:45:51;2013-01-21 02:57:21;59%;6:11;;;;0
2013-01-21 20:09:04;2013-01-22 02:56:56;51%;6:47;;;;0
2013-01-22 20:34:53;2013-01-23 03:15:30;61%;6:40;;;;0
2013-01-23 20:05:20;2013-01-24 03:10:11;65%;7:04;;;;0
2013-01-24 19:53:52;2013-01-25 02:59:55;68%;7:06;;;;0
2013-01-25 21:26:28;2013-01-26 03:44:32;64%;6:18;;;;0
2013-01-27 21:40:11;2013-01-28 03:19:50;61%;5:39;;;;0
2013-01-28 20:03:23;2013-01-29 02:29:10;60%;6:25;;;;0
2013-01-29 18:43:45;2013-01-30 03:00:46;70%;8:17;;;;0
2013-01-30 20:54:36;2013-01-31 02:57:47;62%;6:03;;;;0
2013-01-31 21:01:42;2013-02-01 03:00:11;63%;5:58;;;;0
2013-02-03 20:57:31;2013-02-04 03:00:32;61%;6:03;;;;0
2013-02-04 20:42:53;2013-02-05 03:00:38;72%;6:17;;;;0
2013-02-05 20:02:12;2013-02-06 03:00:54;80%;6:58;;;;0
2013-02-06 20:46:46;2013-02-07 03:00:49;69%;6:14;;;;0
2013-02-07 21:38:13;2013-02-08 03:29:59;63%;5:51;;;;0
2013-02-10 21:45:31;2013-02-11 03:07:51;59%;5:22;;;;0
2013-02-11 19:53:32;2013-02-12 03:06:41;70%;7:13;;;;0
2013-02-12 20:33:39;2013-02-13 02:54:04;78%;6:20;;;;0
2013-02-13 19:55:46;2013-02-14 02:59:55;83%;7:04;;;;0
2013-02-14 20:56:29;2013-02-15 03:00:22;71%;6:03;;;;0
2013-02-16 19:50:45;2013-02-17 05:00:36;100%;9:09;;;;0
2013-02-17 21:03:17;2013-02-18 02:38:42;54%;5:35;;;;0
2013-02-18 20:42:22;2013-02-19 02:17:55;59%;5:35;;;;0
2013-02-19 20:35:09;2013-02-20 02:44:56;62%;6:09;;;;0
2013-02-20 20:55:22;2013-02-21 03:00:15;57%;6:04;;;;0
2013-02-21 20:16:43;2013-02-22 02:57:54;70%;6:41;;;;0
2013-02-24 21:06:15;2013-02-25 02:57:55;62%;5:51;;;;0
2013-02-25 20:17:11;2013-02-26 02:57:40;76%;6:40;;;;0
2013-02-26 19:56:31;2013-02-27 02:59:51;75%;7:03;;;;0
2013-02-28 19:31:29;2013-03-01 02:42:04;62%;7:10;;;;0
2013-03-01 20:33:13;2013-03-02 05:27:46;75%;8:54;;;;0
2013-03-02 21:37:38;2013-03-03 05:57:48;64%;8:20;;;;0
2013-03-03 19:30:25;2013-03-04 03:00:29;56%;7:30;;;;0
2013-03-04 20:22:51;2013-03-05 02:59:54;76%;6:37;;;;0
2013-03-05 21:11:47;2013-03-06 03:18:16;58%;6:06;;;;0
2013-03-06 20:24:57;2013-03-07 03:17:39;68%;6:52;;;;0
2013-03-07 21:20:54;2013-03-08 03:20:49;71%;5:59;;;;0
2013-03-10 21:52:13;2013-03-11 03:19:12;63%;5:26;:|;;;0
2013-03-11 19:51:46;2013-03-12 03:20:54;88%;7:29;:|;;;0
2013-03-12 20:55:55;2013-03-13 03:20:04;62%;6:24;;;;0
2013-03-13 20:57:29;2013-03-14 03:30:05;59%;6:32;;;;0
2013-03-14 20:10:07;2013-03-15 03:30:17;78%;7:20;;;;0
2013-03-17 20:14:34;2013-03-18 03:30:04;85%;7:15;;;;0
2013-03-18 20:15:43;2013-03-19 03:29:40;68%;7:13;;;;0
2013-03-19 20:54:54;2013-03-20 03:23:45;70%;6:28;;Worked out;;0
